method,model_name,split,seed,threshold_source,threshold_mode,source_file,label,threshold
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Self-direction: thought,0.35000000000000003
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Self-direction: action,0.43
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Stimulation,0.36
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Hedonism,0.49
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Achievement,0.3
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Power: dominance,0.28
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Power: resources,0.23
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Face,0.25
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Security: personal,0.44
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Security: societal,0.44
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Tradition,0.26
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Conformity: rules,0.25
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Conformity: interpersonal,0.33
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Humility,0.18
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Benevolence: caring,0.32
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Benevolence: dependability,0.37
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Universalism: concern,0.5700000000000001
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Universalism: nature,0.2
asl,microsoft/deberta-v3-base,test,11,provided,provided,results/logs/deberta_asl_seed11_deberta-v3-base_test_metrics.json,Universalism: tolerance,0.48
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Self-direction: thought,0.35000000000000003
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Self-direction: action,0.43
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Stimulation,0.36
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Hedonism,0.49
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Achievement,0.3
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Power: dominance,0.28
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Power: resources,0.23
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Face,0.25
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Security: personal,0.44
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Security: societal,0.44
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Tradition,0.26
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Conformity: rules,0.25
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Conformity: interpersonal,0.33
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Humility,0.18
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Benevolence: caring,0.32
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Benevolence: dependability,0.37
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Universalism: concern,0.5700000000000001
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Universalism: nature,0.2
asl,microsoft/deberta-v3-base,validation,11,tuned_per_label,per_label,results/logs/deberta_asl_seed11_deberta-v3-base_validation_thresholds.json,Universalism: tolerance,0.48
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Self-direction: thought,0.59
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Self-direction: action,0.53
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Stimulation,0.24
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Hedonism,0.35000000000000003
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Achievement,0.21
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Power: dominance,0.37
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Power: resources,0.41000000000000003
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Face,0.53
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Security: personal,0.23
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Security: societal,0.52
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Tradition,0.61
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Conformity: rules,0.16
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Conformity: interpersonal,0.34
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Humility,0.16
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Benevolence: caring,0.32
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Benevolence: dependability,0.53
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Universalism: concern,0.89
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Universalism: nature,0.18
asl,microsoft/deberta-v3-base,test,1701,provided,provided,results/logs/deberta_asl_seed1701_deberta-v3-base_test_metrics.json,Universalism: tolerance,0.35000000000000003
asl,microsoft/deberta-v3-base,validation,1701,tuned_per_label,per_label,results/logs/deberta_asl_seed1701_deberta-v3-base_validation_thresholds.json,Self-direction: thought,0.59
asl,microsoft/deberta-v3-base,validation,1701,tuned_per_label,per_label,results/logs/deberta_asl_seed1701_deberta-v3-base_validation_thresholds.json,Self-direction: action,0.53
asl,microsoft/deberta-v3-base,validation,1701,tuned_per_label,per_label,results/logs/deberta_asl_seed1701_deberta-v3-base_validation_thresholds.json,Stimulation,0.24
